country_code,latitude,longitude,country
AE,23.424076,53.847818,United Arab Emirates
AR,-38.416097,-63.616672,Argentina
AT,47.516231,14.550072,Austria
AU,-25.274398,133.775136,Australia
BE,50.503887,4.469936,Belgium
BG,42.733883,25.48583,Bulgaria
BR,-14.235004,-51.92528,Brazil
CA,56.130366,-106.346771,Canada
CH,46.818188,8.227512,Switzerland
CN,35.86166,104.195397,China
CO,4.570868,-74.297333,Colombia
CU,21.521757,-77.781167,Cuba
CZ,49.817492,15.472962,Czech Republic
DE,51.165691,10.451526,Germany
EG,26.820553,30.802498,Egypt
FR,46.227638,2.213749,France
GB,55.378051,-3.435973,United Kingdom
GR,39.074208,21.824312,Greece
HK,22.396428,114.109497,Hong Kong
HU,47.162494,19.503304,Hungary
ID,-0.789275,113.921327,Indonesia
IE,53.41291,-8.24389,Ireland
IL,31.046051,34.851612,Israel
IN,20.593684,78.96288,India
IT,41.87194,12.56738,Italy
JP,36.204824,138.252924,Japan
KR,35.907757,127.766922,South Korea
LT,55.169438,23.881275,Lithuania
LV,56.879635,24.603189,Latvia
MA,31.791702,-7.09262,Morocco
MX,23.634501,-102.552784,Mexico
MY,4.210484,101.975766,Malaysia
NG,9.081999,8.675277,Nigeria
NL,52.132633,5.291266,Netherlands
NO,60.472024,8.468946,Norway
NZ,-40.900557,174.885971,New Zealand
PH,12.879721,121.774017,Philippines
PL,51.919438,19.145136,Poland
PT,39.399872,-8.224454,Portugal
RO,45.943161,24.96676,Romania
RS,44.016521,21.005859,Serbia
RU,61.52401,105.318756,Russia
SA,23.885942,45.079162,Saudi Arabia
SE,60.128161,18.643501,Sweden
SG,1.352083,103.819836,Singapore
SI,46.151241,14.995463,Slovenia
SK,48.669026,19.699024,Slovakia
TH,15.870032,100.992541,Thailand
TR,38.963745,35.243322,Turkey
TW,23.69781,120.960515,Taiwan
UA,48.379433,31.16558,Ukraine
US,37.09024,-95.712891,United States
VE,6.42375,-66.58973,Venezuela
ZA,-30.559482,22.937506,South Africa
